City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2021-01-31 23:43:17,71.2906,-156.7887,-18.4,69,75,10.36
1,Greenwood,US,2021-01-31 23:43:17,34.1668,-82.1165,41.0,100,90,6.91
2,Jamestown,US,2021-01-31 23:43:18,42.097,-79.2353,28.99,74,90,13.8
3,Kaitangata,NZ,2021-01-31 23:43:18,-46.2817,169.8464,68.0,63,87,5.99
4,Mahebourg,MU,2021-01-31 23:43:18,-20.4081,57.7,80.6,78,75,13.8
5,Qaanaaq,GL,2021-01-31 23:43:18,77.484,-69.3632,-3.71,88,100,2.55
6,New Norfolk,AU,2021-01-31 23:43:18,-42.7826,147.0587,75.0,47,52,1.99
7,Plauen,DE,2021-01-31 23:43:18,50.5,12.1333,23.0,84,89,1.99
8,Hilo,US,2021-01-31 23:43:18,19.7297,-155.09,78.8,61,40,3.44
9,Hobart,AU,2021-01-31 23:43:18,-42.8794,147.3294,75.0,56,75,11.5
10,Karakol,KG,2021-01-31 23:43:18,42.4907,78.3936,22.24,71,49,3.06
11,Vaini,TO,2021-01-31 23:43:18,-21.2,-175.2,80.6,89,90,10.36
12,Atuona,PF,2021-01-31 23:43:19,-9.8,-139.0333,78.87,75,58,17.43
13,Arraial Do Cabo,BR,2021-01-31 23:43:19,-22.9661,-42.0278,77.13,82,99,26.91
14,Geraldton,AU,2021-01-31 23:43:19,-28.7667,114.6,87.8,23,0,20.71
15,Khatanga,RU,2021-01-31 23:43:19,71.9667,102.5,-39.32,80,21,8.1
16,Chuy,UY,2021-01-31 23:43:19,-33.6971,-53.4616,69.04,91,100,13.51
17,Tucuman,AR,2021-01-31 23:39:14,-26.8241,-65.2226,69.8,88,90,3.44
18,Changji,CN,2021-01-31 23:43:19,44.0167,87.3167,5.0,85,75,4.47
19,Bambous Virieux,MU,2021-01-31 23:43:19,-20.3428,57.7575,80.6,78,75,13.8
20,Puerto Ayora,EC,2021-01-31 23:43:19,-0.7393,-90.3518,80.01,87,91,5.01
21,Ushuaia,AR,2021-01-31 23:39:04,-54.8,-68.3,53.6,62,90,8.05
22,Shimoda,JP,2021-01-31 23:43:20,34.6667,138.95,46.4,71,40,11.5
23,Okha,RU,2021-01-31 23:43:20,53.5739,142.9478,-14.96,82,21,20.07
24,Talcher,IN,2021-01-31 23:43:20,20.95,85.2167,51.4,47,58,3.13
25,Marawi,PH,2021-01-31 23:43:20,7.9986,124.2928,73.99,93,100,5.01
26,Bathsheba,BB,2021-01-31 23:43:20,13.2167,-59.5167,78.8,69,75,19.57
27,Corning,US,2021-01-31 23:43:21,42.1428,-77.0547,24.8,86,90,5.75
28,Airai,TL,2021-01-31 23:43:21,-8.9266,125.4092,61.57,100,100,4.74
29,Busselton,AU,2021-01-31 23:43:22,-33.65,115.3333,68.0,72,0,5.99
30,Praia Da Vitoria,PT,2021-01-31 23:43:22,38.7333,-27.0667,62.6,100,20,27.81
31,Rikitea,PF,2021-01-31 23:43:22,-23.1203,-134.9692,79.43,61,25,6.96
32,Thompson,CA,2021-01-31 23:43:22,55.7435,-97.8558,10.4,92,40,1.72
33,Dikson,RU,2021-01-31 23:43:22,73.5069,80.5464,-26.28,79,67,8.19
34,Port Alfred,ZA,2021-01-31 23:43:22,-33.5906,26.891,71.01,82,9,7.0
35,Punta Arenas,CL,2021-01-31 23:42:05,-53.15,-70.9167,53.6,66,0,24.16
36,Paamiut,GL,2021-01-31 23:43:22,61.994,-49.6678,22.26,90,0,13.85
37,Alta Floresta,BR,2021-01-31 23:43:22,-9.8756,-56.0861,73.63,91,56,0.69
38,Alenquer,BR,2021-01-31 23:43:22,-1.9417,-54.7383,78.8,94,0,3.44
39,Mabaruma,GY,2021-01-31 23:43:22,8.2,-59.7833,73.51,88,99,5.19
40,Yellowknife,CA,2021-01-31 23:43:05,62.456,-114.3525,-4.0,84,75,5.75
41,San Ramon,US,2021-01-31 23:42:56,37.7799,-121.978,64.99,36,1,3.44
42,Bredasdorp,ZA,2021-01-31 23:43:23,-34.5322,20.0403,63.0,81,99,1.01
43,Oga,IT,2021-01-31 23:43:23,46.4631,10.347,45.0,92,0,3.44
44,Virginia Beach,US,2021-01-31 23:43:23,36.8529,-75.978,51.01,99,100,19.15
45,Ardabil,IR,2021-01-31 23:43:23,38.2498,48.2933,33.19,87,7,10.09
46,Camabatela,AO,2021-01-31 23:43:23,-8.1881,15.375,63.61,100,96,4.32
47,Sinnamary,GF,2021-01-31 23:43:23,5.3833,-52.95,78.06,80,49,14.03
48,Bluff,NZ,2021-01-31 23:43:23,-46.6,168.3333,60.84,68,69,8.05
49,Ancud,CL,2021-01-31 23:43:23,-41.8697,-73.8203,66.2,55,0,5.75
50,Micheweni,TZ,2021-01-31 23:43:24,-4.9667,39.8333,79.14,78,100,10.92
51,Sao Felix Do Xingu,BR,2021-01-31 23:43:24,-6.6447,-51.995,74.5,90,27,2.37
52,Abu Kamal,SY,2021-01-31 23:43:24,34.4506,40.9171,49.91,61,1,6.51
53,Kahului,US,2021-01-31 23:40:38,20.8947,-156.47,78.8,57,20,21.85
54,Hermanus,ZA,2021-01-31 23:43:24,-34.4187,19.2345,63.0,81,93,1.01
55,Hithadhoo,MV,2021-01-31 23:43:24,-0.6,73.0833,82.17,78,77,12.35
56,Quatre Cocos,MU,2021-01-31 23:43:24,-20.2078,57.7625,80.6,78,75,13.8
57,Coihaique,CL,2021-01-31 23:38:36,-45.5752,-72.0662,75.2,33,0,6.91
58,Tuktoyaktuk,CA,2021-01-31 23:43:24,69.4541,-133.0374,-23.8,76,75,3.51
59,Tasiilaq,GL,2021-01-31 23:43:25,65.6145,-37.6368,14.0,57,75,2.3
60,Albany,US,2021-01-31 23:41:38,42.6001,-73.9662,17.01,55,100,2.19
61,Dalbandin,PK,2021-01-31 23:43:25,28.8947,64.4101,55.04,39,0,4.94
62,Port Lincoln,AU,2021-01-31 23:43:25,-34.7333,135.8667,64.76,64,86,17.29
63,Fairlie,GB,2021-01-31 23:43:25,55.756,-4.8556,33.01,90,98,1.01
64,Inyonga,TZ,2021-01-31 23:43:25,-6.7167,32.0667,65.25,93,100,4.79
65,Avarua,CK,2021-01-31 23:43:25,-21.2078,-159.775,78.8,89,90,3.44
66,Amboasary,MG,2021-01-31 23:43:26,-25.0333,46.3833,82.4,78,20,20.71
67,Osypenko,UA,2021-01-31 23:43:26,46.9136,36.8253,36.0,53,97,5.01
68,Mar Del Plata,AR,2021-01-31 23:39:04,-38.0023,-57.5575,64.4,68,75,12.66
69,Juneau,US,2021-01-31 23:43:26,58.3019,-134.4197,28.4,86,20,5.66
70,Beringovskiy,RU,2021-01-31 23:43:26,63.05,179.3167,13.5,96,100,31.85
71,East London,ZA,2021-01-31 23:42:53,-33.0153,27.9116,72.82,70,19,18.21
72,Saint-Philippe,RE,2021-01-31 23:43:26,-21.3585,55.7679,80.6,69,0,13.8
73,Kapaa,US,2021-01-31 23:40:53,22.0752,-159.319,77.0,69,40,12.66
74,Ambilobe,MG,2021-01-31 23:43:26,-13.2,49.05,73.35,94,4,2.68
75,Cape Town,ZA,2021-01-31 23:39:20,-33.9258,18.4232,66.0,77,20,18.41
76,Bethel,US,2021-01-31 23:43:27,41.3712,-73.414,21.99,53,90,4.61
77,Georgetown,MY,2021-01-31 23:43:27,5.4112,100.3354,78.8,73,20,2.3
78,Husavik,IS,2021-01-31 23:43:27,66.0449,-17.3389,-5.8,84,0,8.05
79,Takhtamygda,RU,2021-01-31 23:43:27,54.1,123.5667,-37.95,75,5,3.65
80,Novoaltaysk,RU,2021-01-31 23:43:27,53.3917,83.9363,3.2,72,44,6.71
81,Butaritari,KI,2021-01-31 23:43:27,3.0707,172.7902,80.94,82,38,12.93
82,Ribeira Grande,PT,2021-01-31 23:43:27,38.5167,-28.7,63.12,85,99,28.83
83,Clyde River,CA,2021-01-31 23:39:26,70.4692,-68.5914,-4.0,84,90,13.8
84,Waipawa,NZ,2021-01-31 23:43:27,-41.4122,175.5153,71.6,53,1,5.75
85,Torbay,CA,2021-01-31 23:43:27,47.6666,-52.7314,32.0,93,90,17.27
86,Flinders,AU,2021-01-31 23:43:28,-34.5833,150.8552,75.0,80,76,1.99
87,Lebu,CL,2021-01-31 23:40:17,-37.6167,-73.65,57.42,86,4,14.43
88,Castro,BR,2021-01-31 23:43:28,-24.7911,-50.0119,64.85,95,100,4.54
89,Wajir,KE,2021-01-31 23:43:28,1.7471,40.0573,73.94,68,66,15.52
90,Gat,IL,2021-01-31 23:43:28,31.61,34.7642,55.0,72,0,5.35
91,Klaksvik,FO,2021-01-31 23:43:28,62.2266,-6.589,23.0,80,20,1.14
92,Mataura,NZ,2021-01-31 23:43:28,-46.1927,168.8643,73.45,42,51,3.33
93,Kloulklubed,PW,2021-01-31 23:43:28,7.0419,134.2556,77.0,88,90,6.91
94,Leningradskiy,RU,2021-01-31 23:43:28,69.3833,178.4167,-20.85,86,95,10.31
95,Shubarshi,KZ,2021-01-31 23:43:29,48.5872,57.1869,15.15,93,53,6.08
96,Nikolskoye,RU,2021-01-31 23:43:29,59.7035,30.7861,26.01,93,75,11.18
97,Basse,DE,2021-01-31 23:43:29,52.5518,9.5069,23.0,93,100,6.91
98,Pokhara,NP,2021-01-31 23:43:29,28.2333,83.9833,47.39,50,0,3.89
99,Kendrapara,IN,2021-01-31 23:43:29,20.5042,86.416,62.6,94,76,6.58
100,Gombong,ID,2021-01-31 23:43:29,-7.6072,109.5142,77.83,84,84,2.26
101,Soroti,UG,2021-01-31 23:43:29,1.7146,33.6111,66.85,43,78,6.15
102,Gulbene,LV,2021-01-31 23:43:29,57.1777,26.7529,18.55,98,43,5.99
103,Pevek,RU,2021-01-31 23:43:29,69.7008,170.3133,-26.68,85,62,1.12
104,West Bay,KY,2021-01-31 23:43:30,19.3667,-81.4167,80.6,69,20,11.5
105,Richards Bay,ZA,2021-01-31 23:43:30,-28.783,32.0377,77.16,90,96,10.0
106,Victoria,HK,2021-01-31 23:41:50,22.2855,114.1577,66.0,81,37,8.52
107,Nhulunbuy,AU,2021-01-31 23:43:30,-12.2333,136.7667,86.0,74,20,10.36
108,Bubaque,GW,2021-01-31 23:43:30,11.2833,-15.8333,78.49,71,72,8.66
109,General Roca,AR,2021-01-31 23:43:30,-39.0333,-67.5833,68.0,49,75,4.61
110,Belmonte,BR,2021-01-31 23:43:30,-15.8631,-38.8828,78.8,78,20,11.5
111,Fayaoue,NC,2021-01-31 23:43:30,-20.65,166.5333,78.58,75,88,24.58
112,Puerto Carreno,CO,2021-01-31 23:43:31,6.189,-67.4859,85.35,56,100,12.88
113,Camana,PE,2021-01-31 23:43:31,-16.6228,-72.7111,70.61,73,18,7.72
114,Provideniya,RU,2021-01-31 23:43:31,64.3833,-173.3,3.2,85,90,29.08
115,Batemans Bay,AU,2021-01-31 23:43:31,-35.7167,150.1833,72.0,79,55,8.01
116,Vila Velha,BR,2021-01-31 23:43:31,-20.3297,-40.2925,78.8,78,20,16.11
117,Sioux Lookout,CA,2021-01-31 23:43:31,50.1001,-91.917,26.6,100,90,2.3
118,Muridke,PK,2021-01-31 23:43:31,31.8025,74.2617,48.2,81,0,1.81
119,La Ciotat,FR,2021-01-31 23:43:31,43.1748,5.6045,54.0,86,34,1.01
120,Rio Cuarto,AR,2021-01-31 23:39:21,-33.1307,-64.3499,57.2,100,90,5.75
121,Codrington,AU,2021-01-31 23:43:32,-38.2667,141.9667,62.2,67,100,6.02
122,Tura,IN,2021-01-31 23:43:32,25.5198,90.2201,52.38,46,0,2.51
123,Sao Filipe,CV,2021-01-31 23:43:32,14.8961,-24.4956,73.54,66,0,8.12
124,Guerrero Negro,MX,2021-01-31 23:43:32,27.9769,-114.0611,68.5,34,91,9.01
125,Chapleau,CA,2021-01-31 23:43:32,47.8405,-83.4034,10.4,61,20,6.91
126,Nouadhibou,MR,2021-01-31 23:43:32,20.931,-17.0347,66.2,77,0,24.16
127,Marzuq,YE,2021-01-31 23:43:32,14.4,46.4667,57.63,52,0,2.8
128,Saskylakh,RU,2021-01-31 23:43:33,71.9167,114.0833,-31.27,83,60,7.56
129,Berlevag,NO,2021-01-31 23:43:33,70.8578,29.0864,23.67,92,93,9.64
130,Teya,RU,2021-01-31 23:43:33,60.3778,92.6267,-17.52,82,96,1.16
131,Havelock,US,2021-01-31 23:43:33,34.8791,-76.9013,57.2,94,90,8.05
132,Sabha,LY,2021-01-31 23:43:33,27.0377,14.4283,59.54,28,34,11.39
133,Hamilton,US,2021-01-31 23:43:01,39.1834,-84.5333,37.4,93,90,5.75
134,Severo-Kurilsk,RU,2021-01-31 23:43:33,50.6789,156.125,22.84,91,92,39.55
135,Pitimbu,BR,2021-01-31 23:41:08,-7.4706,-34.8086,78.8,83,20,6.91
136,Kirakira,SB,2021-01-31 23:43:33,-10.4544,161.9205,85.05,70,80,20.49
137,Bambanglipuro,ID,2021-01-31 23:43:34,-7.95,110.2833,77.79,84,98,3.89
138,Vostok,RU,2021-01-31 23:43:34,46.4856,135.8833,3.72,95,100,3.0
139,Charlestown,AU,2021-01-31 23:39:06,-32.95,151.6667,80.01,85,19,5.68
140,Chokurdakh,RU,2021-01-31 23:43:34,70.6333,147.9167,-20.85,87,87,12.12
141,Demba,CD,2021-01-31 23:39:07,-5.51,22.2667,68.85,99,100,0.69
142,Staryy Nadym,RU,2021-01-31 23:43:34,65.6118,72.6842,-9.0,90,75,7.25
143,Mathbaria,BD,2021-01-31 23:43:34,22.2876,89.9593,52.56,50,1,4.21
144,Puerto Escondido,MX,2021-01-31 23:43:34,15.85,-97.0667,84.2,70,1,5.75
145,Manggar,ID,2021-01-31 23:43:34,-2.8833,108.2667,79.48,83,97,9.82
146,Cabedelo,BR,2021-01-31 23:43:35,-6.9811,-34.8339,78.8,83,20,6.91
147,Chumikan,RU,2021-01-31 23:43:35,54.7183,135.315,-23.6,77,31,21.85
148,Anchorage,US,2021-01-31 23:39:01,61.2181,-149.9003,10.4,72,1,3.44
149,Oistins,BB,2021-01-31 23:43:35,13.0667,-59.5333,78.8,69,75,19.57
150,Cidreira,BR,2021-01-31 23:43:35,-30.1811,-50.2056,75.47,91,100,10.49
151,Anzio,IT,2021-01-31 23:43:35,41.4853,12.6179,51.01,87,73,1.01
152,Hasaki,JP,2021-01-31 23:43:35,35.7333,140.8333,37.4,56,75,6.91
153,Oktyabrskiy,RU,2021-01-31 23:43:35,54.4815,53.471,23.9,97,100,20.78
154,Carnarvon,AU,2021-01-31 23:43:35,-24.8667,113.6333,84.2,37,95,11.5
155,Ostersund,SE,2021-01-31 23:43:36,63.1792,14.6357,10.4,92,90,0.72
156,Nanortalik,GL,2021-01-31 23:43:36,60.1432,-45.2371,32.32,91,100,6.35
157,Sur,OM,2021-01-31 23:43:36,22.5667,59.5289,68.63,55,0,4.21
158,Owo,NG,2021-01-31 23:43:36,7.1962,5.5868,72.63,89,6,3.36
159,Broken Hill,AU,2021-01-31 23:43:36,-31.95,141.4333,80.6,22,40,8.05
160,Malinyi,TZ,2021-01-31 23:43:36,-8.9333,36.1333,72.01,95,100,3.02
161,Los Llanos De Aridane,ES,2021-01-31 23:43:36,28.6585,-17.9182,62.6,82,0,10.36
162,Bosaso,SO,2021-01-31 23:43:36,11.2842,49.1816,69.51,73,0,3.65
163,Olinda,BR,2021-01-31 23:43:36,-8.0089,-34.8553,80.6,69,75,8.05
164,Bengkulu,ID,2021-01-31 23:43:37,-3.8004,102.2655,75.58,80,91,4.23
165,Quesnel,CA,2021-01-31 23:43:37,52.9999,-122.5029,32.0,86,90,3.44
166,Maragogi,BR,2021-01-31 23:43:27,-9.0122,-35.2225,77.94,80,69,6.62
167,Itaquyry,PY,2021-01-31 23:43:37,-24.9333,-55.2167,69.8,94,75,4.61
168,Agara,GE,2021-01-31 23:43:37,42.0376,43.8238,38.89,71,72,1.41
169,San Pedro,PH,2021-01-31 23:43:37,14.35,121.0167,75.0,83,40,5.75
170,Lakes Entrance,AU,2021-01-31 23:43:37,-37.8811,147.981,73.0,68,0,1.01
171,Norman Wells,CA,2021-01-31 23:43:37,65.282,-126.8329,-20.2,69,75,11.5
172,Narwar,IN,2021-01-31 23:43:37,25.65,77.9,50.52,45,0,1.74
173,Dubbo,AU,2021-01-31 23:43:37,-32.25,148.6167,82.4,54,6,9.22
174,Muros,ES,2021-01-31 23:43:38,42.7762,-9.0603,59.0,81,100,5.01
175,Bitung,ID,2021-01-31 23:43:38,1.4451,125.1824,77.0,94,40,1.14
176,Takoradi,GH,2021-01-31 23:43:38,4.8845,-1.7554,79.18,88,37,10.6
177,Shingu,JP,2021-01-31 23:43:38,33.7333,135.9833,42.8,70,75,4.61
178,Lavrentiya,RU,2021-01-31 23:43:38,65.5833,-171.0,-6.18,85,100,16.84
179,Ponta Do Sol,PT,2021-01-31 23:43:38,32.6667,-17.1,57.0,75,0,3.0
180,Salalah,OM,2021-01-31 23:43:38,17.0151,54.0924,66.2,68,0,2.3
181,Iqaluit,CA,2021-01-31 23:43:38,63.7506,-68.5145,6.8,78,90,13.8
182,Villazon,BO,2021-01-31 23:43:39,-22.0866,-65.5942,60.73,51,1,13.49
183,Sao Joao Da Barra,BR,2021-01-31 23:43:39,-21.6403,-41.0511,77.86,82,97,20.18
184,Mirabad,AF,2021-01-31 23:43:39,30.4362,61.8383,53.47,40,0,5.23
185,Quimper,FR,2021-01-31 23:40:19,48.0,-4.1,51.8,93,90,14.97
186,Avera,US,2021-01-31 23:43:39,33.194,-82.5271,48.2,97,90,3.44
187,Acapulco,MX,2021-01-31 23:42:17,16.8634,-99.8901,84.2,65,1,12.66
188,High Prairie,CA,2021-01-31 23:43:39,55.4334,-116.4858,14.0,73,67,5.75
189,Doka,SD,2021-01-31 23:43:40,13.5167,35.7667,71.69,49,0,13.29
190,Komsomolskiy,UZ,2021-01-31 23:43:40,40.4272,71.7189,39.2,56,100,4.61
191,Port Blair,IN,2021-01-31 23:43:01,11.6667,92.75,78.15,84,16,11.34
192,Ponta Delgada,PT,2021-01-31 23:43:40,37.7333,-25.6667,62.01,94,75,17.27
193,Sitka,US,2021-01-31 23:40:49,57.0531,-135.33,42.8,42,40,3.44
194,Urumqi,CN,2021-01-31 23:43:40,43.801,87.6005,3.2,85,75,4.47
195,Brae,GB,2021-01-31 23:43:40,60.3964,-1.353,32.0,86,20,11.5
196,Sorland,NO,2021-01-31 23:43:41,67.667,12.6934,34.07,84,100,20.04
197,Kinablangan,PH,2021-01-31 23:43:41,7.6947,126.5503,79.75,79,100,1.9
198,Morro Bay,US,2021-01-31 23:43:41,35.3658,-120.8499,62.01,82,100,1.01
199,Kirovskiy,RU,2021-01-31 23:43:41,45.0917,133.5136,10.4,95,100,3.53
200,Port Elizabeth,ZA,2021-01-31 23:43:41,-33.918,25.5701,69.8,78,40,26.46
201,South Daytona,US,2021-01-31 23:39:50,29.1658,-81.0045,75.2,53,90,12.66
202,Bangsund,NO,2021-01-31 23:43:41,64.3968,11.3949,32.0,81,76,5.99
203,Stromness,GB,2021-01-31 23:39:50,58.965,-3.296,32.0,86,75,2.3
204,Salym,RU,2021-01-31 23:39:01,60.0625,71.4789,2.75,94,89,4.36
205,Ngunguru,NZ,2021-01-31 23:43:42,-35.6167,174.5,66.16,64,0,9.73
206,Tuatapere,NZ,2021-01-31 23:43:42,-46.1333,167.6833,70.09,52,5,4.18
207,Port Hardy,CA,2021-01-31 23:43:42,50.6996,-127.4199,44.6,87,75,5.75
208,Katobu,ID,2021-01-31 23:43:42,-4.9408,122.5276,80.47,79,100,3.04
209,Fairbanks,US,2021-01-31 23:41:29,64.8378,-147.7164,-2.2,84,90,1.39
210,Baghdad,IQ,2021-01-31 23:43:42,33.3406,44.4009,53.6,58,0,5.75
211,Ternate,ID,2021-01-31 23:43:42,0.8,127.4,79.93,72,97,5.06
212,El Sauzal,MX,2021-01-31 23:43:42,31.9,-116.6833,60.01,77,87,2.77
213,Udankudi,IN,2021-01-31 23:43:42,8.4333,78.0167,74.44,86,83,14.97
214,Khash,IR,2021-01-31 23:43:43,28.2211,61.2158,43.27,65,0,2.75
215,Luba,GQ,2021-01-31 23:43:43,3.4568,8.5547,80.6,89,20,8.05
216,Aswan,EG,2021-01-31 23:43:43,24.0934,32.907,57.38,47,0,6.6
217,Mogadishu,SO,2021-01-31 23:43:43,2.0371,45.3438,75.02,84,7,19.28
218,Rosa Zarate,EC,2021-01-31 23:43:43,0.3333,-79.4667,75.51,92,90,4.05
219,Mayo,US,2021-01-31 23:43:43,38.8876,-76.5119,33.01,93,90,12.66
220,Karratha,AU,2021-01-31 23:43:43,-20.7377,116.8463,85.14,57,99,15.21
221,Esperance,AU,2021-01-31 23:43:43,-33.8667,121.9,62.6,82,6,8.05
222,Labuhan,ID,2021-01-31 23:43:43,-6.8844,112.2051,78.67,84,100,8.3
223,Porto Novo,BJ,2021-01-31 23:43:44,6.4965,2.6036,84.2,84,40,12.66
224,Kamwenge,UG,2021-01-31 23:43:44,0.1866,30.4539,64.89,69,95,2.17
225,Senanga,ZM,2021-01-31 23:43:44,-16.1167,23.2667,67.01,88,100,5.19
226,Jericho,PS,2021-01-31 23:43:44,31.8667,35.45,50.0,83,0,4.07
227,Tiksi,RU,2021-01-31 23:43:44,71.6872,128.8694,-27.27,86,100,6.4
228,Samarai,PG,2021-01-31 23:43:44,-10.6167,150.6667,85.12,68,8,9.78
229,Prachuap Khiri Khan,TH,2021-01-31 23:41:11,12.2167,99.75,69.8,78,0,2.3
230,Weligama,LK,2021-01-31 23:43:44,5.9667,80.4167,73.92,89,53,4.07
231,Coahuayana,MX,2021-01-31 23:43:44,18.7333,-103.6833,80.6,74,1,5.01
232,Bucerias,MX,2021-01-31 23:43:45,20.75,-105.3333,73.4,78,20,9.22
233,Vila Franca Do Campo,PT,2021-01-31 23:43:45,37.7167,-25.4333,62.01,94,75,17.27
234,Longyearbyen,SJ,2021-01-31 23:43:45,78.2186,15.6401,1.4,60,0,17.27
235,Phalodi,IN,2021-01-31 23:43:45,27.1333,72.3667,58.14,28,0,4.07
236,Nome,US,2021-01-31 23:43:45,64.5011,-165.4064,3.0,55,1,10.36
237,Brazzaville,CG,2021-01-31 23:43:45,-4.2658,15.2832,77.0,88,40,3.44
238,Lanigan,CA,2021-01-31 23:43:45,51.8501,-105.0344,3.2,78,2,5.75
239,Hua Hin,TH,2021-01-31 23:43:45,12.5707,99.9588,69.8,78,0,2.3
240,Xining,CN,2021-01-31 23:43:46,36.6167,101.7667,10.98,64,0,3.13
241,Wasilla,US,2021-01-31 23:43:46,61.5814,-149.4394,12.2,92,20,1.1
242,Zhigansk,RU,2021-01-31 23:43:46,66.7697,123.3711,-45.08,76,44,2.48
243,Kijang,KR,2021-01-31 23:43:46,35.2442,129.2139,51.8,93,90,5.75
244,Axim,GH,2021-01-31 23:43:46,4.8699,-2.2405,79.16,88,27,9.1
245,Saint-Augustin,CA,2021-01-31 23:43:46,51.226,-58.6502,13.59,91,81,13.29
246,Auki,SB,2021-01-31 23:43:46,-8.7676,160.7034,83.35,79,98,17.78
247,Kavieng,PG,2021-01-31 23:43:47,-2.5744,150.7967,83.39,82,100,15.14
248,Eirunepe,BR,2021-01-31 23:43:47,-6.6603,-69.8736,73.06,96,84,0.45
249,Lata,PT,2021-01-31 23:43:47,40.1629,-8.3327,57.0,93,85,7.92
250,Sambava,MG,2021-01-31 23:43:47,-14.2667,50.1667,76.14,84,27,7.38
251,Coquimbo,CL,2021-01-31 23:40:06,-29.9533,-71.3436,66.2,88,20,9.22
252,Sarkand,KZ,2021-01-31 23:43:47,45.41,79.9186,33.69,70,99,3.98
253,Makakilo City,US,2021-01-31 23:43:47,21.3469,-158.0858,82.4,47,90,4.61
254,Iquitos,PE,2021-01-31 23:43:47,-3.7481,-73.2472,75.2,94,90,5.75
255,Natchitoches,US,2021-01-31 23:43:47,31.7668,-93.1335,53.6,58,1,12.66
256,Peniche,PT,2021-01-31 23:40:41,39.3558,-9.3811,59.0,99,86,8.01
257,Pangnirtung,CA,2021-01-31 23:43:48,66.1451,-65.7125,-4.61,87,100,3.38
258,Upernavik,GL,2021-01-31 23:43:48,72.7868,-56.1549,2.55,93,100,6.6
259,Havoysund,NO,2021-01-31 23:43:48,70.9963,24.6622,26.6,86,75,14.97
260,Pisco,PE,2021-01-31 23:39:26,-13.7,-76.2167,71.6,68,75,17.27
261,Minab,IR,2021-01-31 23:43:48,27.1467,57.0801,57.2,77,0,2.3
262,Ilulissat,GL,2021-01-31 23:43:48,69.2167,-51.1,6.8,56,20,6.91
263,Kodiak,US,2021-01-31 23:43:48,57.79,-152.4072,32.0,51,1,10.36
264,Yar-Sale,RU,2021-01-31 23:43:49,66.8333,70.8333,-12.28,89,92,7.81
265,Bandarbeyla,SO,2021-01-31 23:43:49,9.4942,50.8122,72.46,73,26,18.37
266,Goure,NE,2021-01-31 23:43:49,13.9835,10.2704,71.01,17,0,8.99
267,Bundaberg,AU,2021-01-31 23:43:49,-24.85,152.35,84.0,57,75,13.8
268,Anloga,GH,2021-01-31 23:43:49,5.7947,0.8973,81.75,83,12,14.9
269,Athabasca,CA,2021-01-31 23:43:49,54.7169,-113.2854,8.6,72,26,6.91
270,Oktyabrskoye,RU,2021-01-31 23:43:49,43.0645,44.7417,24.8,93,48,6.71
271,Whitehorse,CA,2021-01-31 23:43:49,60.7161,-135.0538,1.0,77,90,4.61
